age,married,sex,race,hispanic,hhinc,away,employ,numinc,violent,injury,medtreat,medexp,robbery,assault,pweight,pstrat,ppsu
67,0,1,2,2,4,0,1,0,0,0,0,0,0,0,4543.4333,133,2
40,0,1,2,2,1,0,1,0,0,0,0,0,0,0,4126.51124,133,2
13,0,1,2,2,1,0,0,0,0,0,0,0,0,0,6320.4279,133,2
20,0,0,2,2,1,1,1,0,0,0,0,0,0,0,7591.37219,133,2
17,0,0,2,2,1,0,0,0,0,0,0,0,0,0,5832.61404,133,2
75,1,1,1,2,.,1,0,0,0,0,0,0,0,0,5083.35565,133,2
75,1,0,1,2,.,1,0,0,0,0,0,0,0,0,6201.27883,133,2
38,0,0,2,2,4,1,1,0,0,0,0,0,0,0,7647.11725,133,2
59,0,1,1,2,.,0,0,0,0,0,0,0,0,0,5654.45457,133,2
55,0,1,2,2,1,1,0,0,0,0,0,0,0,0,3264.81183,133,2
18,0,1,1,2,.,0,0,0,0,0,0,0,0,0,5841.49682,133,2
24,0,0,1,1,.,1,1,0,0,0,0,0,0,0,7063.16151,133,2
64,1,1,2,2,6,0,0,0,0,0,0,0,0,0,4670.66927,133,2
84,1,0,2,2,6,0,0,1,0,0,0,0,0,0,2703.64014,133,2
65,1,1,1,2,2,0,0,0,0,0,0,0,0,0,5686.44616,133,2
84,0,1,1,2,2,0,0,0,0,0,0,0,0,0,6600.67695,133,2
69,1,0,1,2,2,0,0,0,0,0,0,0,0,0,5842.63503,133,2
29,0,1,2,2,1,1,1,0,0,0,0,0,0,0,4109.25398,133,2
75,0,1,1,2,2,0,0,0,0,0,0,0,0,0,5024.66351,133,2
37,0,1,1,2,2,1,0,0,0,0,0,0,0,0,6678.05164,133,2
45,0,1,1,2,2,0,0,0,0,0,0,0,0,0,6361.80895,133,2
12,0,1,1,2,2,1,0,2,1,1,0,0,0,1,7169.41552,133,2
73,0,1,1,2,2,0,0,0,0,0,0,0,0,0,5256.23026,133,2
48,1,0,1,2,14,1,1,0,0,0,0,0,0,0,6705.19056,133,2
51,1,1,1,2,14,1,1,0,0,0,0,0,0,0,5605.68808,133,2
64,1,1,1,2,.,1,0,0,0,0,0,0,0,0,5291.43903,133,2
64,1,0,1,2,.,1,1,0,0,0,0,0,0,0,6622.06902,133,2
33,1,1,1,2,13,1,1,0,0,0,0,0,0,0,5978.29937,133,2
16,0,1,1,2,13,1,0,1,0,0,0,0,0,0,8005.95018,133,2
13,0,1,1,2,13,1,0,0,0,0,0,0,0,0,6369.39823,133,2
52,0,1,2,2,1,1,0,0,0,0,0,0,0,0,3858.69593,133,2
19,0,0,2,2,1,1,0,1,0,0,0,0,0,0,6788.81928,133,2
19,0,0,2,2,1,1,0,0,0,0,0,0,0,0,6788.81928,133,2
38,0,1,2,2,2,1,1,0,0,0,0,0,0,0,4243.86759,133,2
13,0,0,2,2,2,1,0,0,0,0,0,0,0,0,4433.85054,133,2
49,0,1,2,2,9,0,1,0,0,0,0,0,0,0,4936.76409,133,2
64,0,1,2,2,1,0,0,0,0,0,0,0,0,0,4360.88091,133,2
